procedure,location,facility_rating,distance_miles,gold_ppo_plan_accepted,silver_epo_plan_accepted,accepted_plans,cost_facility,cost_physician,cost_anesthesia,cost_medication,total_cost
Angioplasty,City Hospital,4.7,5.2,True,True,"Gold PPO, Family Plan - Silver EPO, Medicare Advantage",9432.8,4774.57,1894.37,834.8,16936.54
Angioplasty,Regional Medical Center,4.3,12.6,False,True,"Family Plan - Silver EPO, Bronze HDHP, Medicaid",23594.95,4897.27,581.04,783.86,29857.12
Angioplasty,Green Valley Clinic,4.5,1.2,True,True,"Gold PPO, Family Plan - Silver EPO",3807.32,5687.8,293.41,1301.58,11090.11
Angioplasty,Oceanview Medical,4.2,22.9,False,True,"Bronze HDHP, Family Plan - Silver EPO",16635.64,8253.25,2024.51,2757.76,29671.16
Annual Physical Exam,City Hospital,4.7,5.2,True,True,"Gold PPO, Family Plan - Silver EPO, Medicare Advantage",34.37,146.42,0.0,2.07,182.86
Annual Physical Exam,Regional Medical Center,4.3,12.6,False,True,"Family Plan - Silver EPO, Bronze HDHP, Medicaid",30.22,235.07,0.0,0.16,265.45
Annual Physical Exam,Sunrise Health,4.6,3.8,False,True,"Family Plan - Silver EPO, Medicare Advantage",27.28,147.92,0.0,7.72,182.92
Annual Physical Exam,Oceanview Medical,4.2,22.9,False,True,"Bronze HDHP, Family Plan - Silver EPO",32.47,206.02,0.0,4.61,243.1
Appendectomy,City Hospital,4.7,5.2,True,True,"Gold PPO, Family Plan - Silver EPO, Medicare Advantage",19564.19,2457.05,1273.0,1113.9,24408.14
Appendectomy,Regional Medical Center,4.3,12.6,False,True,"Family Plan - Silver EPO, Bronze HDHP, Medicaid",16238.56,10461.76,3863.8,1803.06,32367.18
Appendectomy,Sunrise Health,4.6,3.8,False,True,"Family Plan - Silver EPO, Medicare Advantage",3411.96,5876.87,506.76,1558.09,11353.68
Appendectomy,Oceanview Medical,4.2,22.9,False,True,"Bronze HDHP, Family Plan - Silver EPO",19191.65,13942.8,2325.8,1026.24,36486.49
