customer_id,account_age_months,service_type,plan_name,monthly_cost_usd,last_payment_date,payment_status,tech_support_calls,device_count,streaming_hours,satisfaction_score,is_autopay,data_overage_count,upgrade_eligibility,churn_risk_score
C001,48,Satellite TV,America's Top 200,54.75,2025-04-24,On Time,0,5,0.0,2,False,0,True,0.35
C002,14,Satellite TV,America's Top 200,50.94,2025-04-12,On Time,1,5,0.0,7,True,0,False,0.25
C003,49,5G Wireless,5G Basic,102.52,2025-04-09,On Time,2,2,0.0,4,False,0,True,0.42
C004,23,Internet,Home 100 Mbps,106.27,2025-04-12,On Time,0,4,80.4,7,True,2,False,0.16
C005,3,Sling TV,Orange,89.51,2025-04-07,On Time,0,2,130.0,7,False,0,False,0.55
C006,24,5G Wireless,5G Basic,61.97,2025-04-10,On Time,5,1,0.0,10,True,1,True,0.11
C007,18,Internet,Home 500 Mbps,119.06,2025-04-11,On Time,1,3,126.4,1,True,0,False,0.51
C008,5,Internet,Home 500 Mbps,48.99,2025-04-01,On Time,5,3,31.9,8,False,3,True,0.18
C009,16,5G Wireless,5G Basic,97.05,2025-04-14,On Time,4,4,0.0,10,False,2,True,0.2
C010,6,Sling TV,Blue + Sports,98.02,2025-04-04,On Time,5,2,118.8,7,True,0,False,0.38
C011,30,Internet,Gigabit Fiber,77.62,2025-04-14,Late,0,1,102.3,9,False,2,True,0.54
C012,11,5G Wireless,5G Unlimited,70.84,2025-04-01,Late,5,3,0.0,9,True,0,False,0.08
C013,24,Sling TV,Blue,98.63,2025-04-14,Missed,4,1,89.8,8,True,0,True,0.36
C014,16,5G Wireless,5G Unlimited,35.21,2025-04-03,On Time,0,1,0.0,8,True,1,True,0.27
C015,11,Internet,Gigabit Fiber,53.86,2025-04-04,On Time,1,5,113.3,4,False,3,False,0.13
C016,29,Internet,Gigabit Fiber,40.89,2025-04-24,On Time,0,5,83.1,10,True,0,True,0.35
C017,5,Satellite TV,America's Top 200,111.49,2025-04-04,On Time,4,2,0.0,5,False,0,True,0.13
C018,16,Sling TV,Blue + Sports,100.62,2025-04-06,On Time,0,1,98.8,6,False,0,False,0.33
C019,4,Internet,Gigabit Fiber,90.6,2025-04-11,On Time,3,3,120.1,2,True,1,True,0.17
C020,28,Internet,Home 100 Mbps,46.51,2025-04-17,On Time,0,4,121.2,9,True,0,True,0.21
C021,11,Satellite TV,America's Top 200,66.58,2025-04-16,On Time,3,1,0.0,3,False,0,True,0.26
C022,60,Internet,Home 500 Mbps,100.57,2025-04-17,On Time,5,5,99.3,8,True,1,False,0.39
C023,38,Sling TV,Orange,96.22,2025-04-30,Late,0,1,87.6,9,True,0,True,0.15
C024,5,Satellite TV,America's Top 200,83.55,2025-04-10,Late,3,1,0.0,10,True,0,True,0.31
C025,43,Satellite TV,America's Top 120,82.53,2025-04-15,On Time,2,2,0.0,6,True,0,False,0.2
C026,43,Internet,Home 100 Mbps,88.1,2025-04-17,On Time,0,1,68.7,10,True,0,True,0.18
C027,60,5G Wireless,5G Basic,61.41,2025-04-29,Late,2,3,0.0,3,False,2,True,0.37
C028,7,5G Wireless,5G Max,114.5,2025-04-27,On Time,0,5,0.0,3,False,2,True,0.2
C029,44,5G Wireless,5G Basic,87.08,2025-04-23,On Time,2,1,0.0,2,False,2,True,0.19
C030,50,Satellite TV,America's Top 120,41.77,2025-04-23,On Time,3,5,0.0,7,True,0,True,0.28
C031,58,Satellite TV,America's Everything Pack,43.41,2025-04-30,Late,4,5,0.0,3,False,0,True,0.1
C032,24,Satellite TV,America's Top 120,110.91,2025-04-06,Missed,0,3,0.0,4,True,0,True,0.21
C033,57,5G Wireless,5G Max,108.72,2025-04-12,Late,1,2,0.0,3,False,0,True,0.31
C034,52,5G Wireless,5G Unlimited,90.29,2025-04-08,Late,2,2,0.0,2,False,0,False,0.04
C035,53,Sling TV,Blue,112.66,2025-04-20,On Time,1,2,3.5,4,False,0,False,0.12
C036,50,5G Wireless,5G Basic,55.12,2025-04-11,On Time,5,5,0.0,6,True,0,False,0.21
C037,3,Sling TV,Orange + Sports,39.76,2025-04-18,On Time,2,4,90.9,9,True,0,False,0.36
C038,3,Sling TV,Orange + Sports,93.79,2025-05-01,On Time,4,2,54.6,2,False,0,False,0.65
C039,58,Satellite TV,America's Everything Pack,57.03,2025-04-22,On Time,2,4,0.0,5,True,0,True,0.16
C040,25,Internet,Gigabit Fiber,90.96,2025-04-03,On Time,4,3,60.9,1,False,2,True,0.07
