product_code,category,location,quantity_in_stock,reorder_threshold,supplier,last_ordered,expected_delivery,predicted_demand_next_week,stockout_risk
692554,Flu Shots,"New York, NY",151,16,George-King,2025-01-11,2025-05-13,19,0.5546249394609004
916153,GLP-1 Medications,"New York, NY",49,13,Ward Group,2025-03-06,2025-05-13,30,0.28453051366813753
959868,Pain Relief - Ibuprofen,"New York, NY",19,27,Hendricks LLC,2025-03-23,2025-04-27,45,0.41160279934985633
306790,Pain Relief - Acetaminophen,"New York, NY",185,25,Evans Inc,2025-01-24,2025-04-24,14,0.16899772355947484
821090,Antibiotics - Amoxicillin,"New York, NY",120,20,Robinson Group,2025-03-16,2025-05-04,25,0.4995105878380648
263188,Antihistamines - Zyrtec,"New York, NY",53,14,Lee Ltd,2025-01-03,2025-05-01,30,0.5214118869461588
740201,Topical Creams - Hydrocortisone,"New York, NY",191,34,Townsend and Sons,2025-03-28,2025-04-20,48,0.13736039576091674
157305,Cold & Cough Syrup - Robitussin,"New York, NY",139,35,Carroll Group,2025-01-02,2025-04-23,40,0.49706250129619234
709810,Vitamins - Vitamin D,"New York, NY",23,14,"Carrillo, Norton and White",2025-02-01,2025-05-13,23,0.7988734931732855
717998,Vitamins - Multivitamins,"New York, NY",33,33,Wong and Sons,2025-01-05,2025-05-02,26,0.1764728871108493
815270,Insulin - Novolog,"New York, NY",25,44,"Jones, Hernandez and Hodges",2025-04-11,2025-05-02,5,0.41989028651146043
298366,Antacids - Tums,"New York, NY",133,38,Lambert Group,2025-01-19,2025-04-21,8,0.44615023336456616
364309,Diabetes Test Strips,"New York, NY",72,19,"Henry, Smith and Wolfe",2025-01-17,2025-05-09,15,0.7867312270936878
780656,Allergy Relief - Benadryl,"New York, NY",18,39,George-Hull,2025-02-28,2025-05-07,46,0.20761294965526
187517,First Aid - Band-Aids,"New York, NY",111,37,Evans-Hubbard,2025-01-26,2025-05-12,21,0.14891032807623095
742567,Flu Shots,"Los Angeles, CA",13,49,"Jones, Pennington and Sharp",2025-01-07,2025-05-03,19,0.8372402134494883
