First Name,Last Name,Position,Jersey,Team,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,saa,saves,savePct,scoresAgainst,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
Jack,Rowlett,D,99,Chaos,10,2,2,1,0,1,0,2,0.5,2,1,2,0.5,2,1,4,11,18,60,54,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,1
Zach,Currier,M,77,Waterdogs,10,19,12,11,10,1,7,25,0.44,18,0.72,3,0.3333333333333333,2,0.6666666666666666,9,13,34,199,165,0.17391304347826086,8,38,46,0,0,0,0,0,1,0.5,0,0,0,0,0,5,6
Ryland,Rees,LSM,17,Waterdogs,10,8,8,4,0,4,0,6,0.6666666666666666,6,1,5,0.8,5,1,6,3,25,43,31,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Ben,Randall,D,44,Waterdogs,10,2,1,1,1,0,1,3,0.3333333333333333,1,0.3333333333333333,2,0,0,0,4,17,27,100,93,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,1,0
Carter,Parlette,SSDM,21,Cannons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Koras,M,15,Whipsnakes,6,5,4,4,4,0,1,15,0.26666666666666666,11,0.7333333333333333,0,0,0,0,1,4,17,78,62,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,2,2
Mac,Costin,M,23,Outlaws,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Knote,G,43,Outlaws,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh,Zawada,M,79,Outlaws,10,16,6,6,6,0,10,37,0.16216216216216217,22,0.5945945945945946,1,0,1,1,11,0,12,326,278,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,2,4
Cole,Williams,M,14,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick,Shoemay,D,25,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challen,Rogers,M,23,Archers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Mike,Sisselberger,FO,99,Archers,10,1,1,1,1,0,0,8,0.125,2,0.25,0,0,0,0,19,1,94,86,59,0.5843137254901961,149,104,255,0,0,0,0,0,1,0.5,0,0,0,0,0,1,0
