Procedure,Provider,Network Status,Distance from Member (miles),Facility Fee ($),Physician Fee ($),Anesthesia Fee ($),Medication Fee ($),Total Cost ($)
Appendectomy,City Hospital,In-Network,57.7,19207.88,6529.08,2834.1,1847.27,30418.33
Appendectomy,City Hospital,Out-of-Network,53.6,30069.71,13432.68,2872.91,546.2,46921.5
Appendectomy,Regional Medical Center,In-Network,60.6,5910.91,8254.3,4917.26,838.93,19921.4
Appendectomy,Regional Medical Center,Out-of-Network,29.6,22367.57,3894.84,4503.45,2546.25,33312.11
Appendectomy,Sunrise Health,In-Network,44.9,14832.84,1995.38,1737.94,1743.57,20309.73
Appendectomy,Sunrise Health,Out-of-Network,97.7,1664.14,12113.93,2763.96,1849.54,18391.57
Appendectomy,Green Valley Clinic,In-Network,74.9,6793.88,5763.72,2157.29,1205.2,15920.09
Appendectomy,Green Valley Clinic,Out-of-Network,65.7,3827.77,10635.65,6997.91,1715.11,23176.44
Appendectomy,Oceanview Medical,In-Network,50.7,16256.94,533.62,4651.09,420.03,21861.68
Appendectomy,Oceanview Medical,Out-of-Network,88.2,29380.02,14726.18,3200.07,1030.57,48336.84
Knee Replacement,City Hospital,In-Network,90.3,7517.68,5101.33,3203.15,328.01,16150.17
Knee Replacement,City Hospital,Out-of-Network,94.1,28715.85,6210.64,3090.11,864.47,38881.07
Knee Replacement,Regional Medical Center,In-Network,6.4,14408.0,7924.36,1373.91,342.54,24048.81
Knee Replacement,Regional Medical Center,Out-of-Network,25.3,14534.13,15229.58,5500.57,2393.52,37657.8
Knee Replacement,Sunrise Health,In-Network,15.6,1466.53,8562.43,1302.26,482.82,11814.04
Knee Replacement,Sunrise Health,Out-of-Network,73.5,25929.99,7663.12,6711.03,208.55,40512.69
Knee Replacement,Green Valley Clinic,In-Network,51.3,16398.95,1771.28,2274.62,1587.83,22032.68
Knee Replacement,Green Valley Clinic,Out-of-Network,22.4,2746.69,9716.09,4300.4,1144.74,17907.92
Knee Replacement,Oceanview Medical,In-Network,40.1,2429.42,7381.81,4045.75,1670.9,15527.88
Knee Replacement,Oceanview Medical,Out-of-Network,21.2,20418.65,6294.2,5585.74,1562.05,33860.64
Hip Replacement,City Hospital,In-Network,32.7,17530.2,6655.05,4756.79,217.33,29159.37
Hip Replacement,City Hospital,Out-of-Network,81.8,4962.25,12532.02,6218.76,651.1,24364.13
Hip Replacement,Regional Medical Center,In-Network,66.5,5533.15,7476.79,3259.72,1620.16,17889.82
Hip Replacement,Regional Medical Center,Out-of-Network,4.9,16114.27,6975.72,1073.06,2485.37,26648.42
Hip Replacement,Sunrise Health,In-Network,72.1,11184.97,1865.15,3027.86,1839.42,17917.4
Hip Replacement,Sunrise Health,Out-of-Network,10.1,27257.22,11788.72,7990.0,1994.9,49030.84
Hip Replacement,Green Valley Clinic,In-Network,79.5,16352.41,9075.55,3668.7,1089.26,30185.92
Hip Replacement,Green Valley Clinic,Out-of-Network,79.5,30007.16,2809.71,4814.49,1987.22,39618.58
Hip Replacement,Oceanview Medical,In-Network,17.7,16530.31,2491.51,1475.29,784.52,21281.63
Hip Replacement,Oceanview Medical,Out-of-Network,63.7,22105.0,10854.84,5864.76,522.9,39347.5
Cataract Surgery,City Hospital,In-Network,65.3,1320.21,7158.64,2048.09,830.86,11357.8
Cataract Surgery,City Hospital,Out-of-Network,37.8,11984.48,6472.24,7728.28,3215.28,29400.28
Cataract Surgery,Regional Medical Center,In-Network,31.1,12671.1,6993.4,4780.57,507.49,24952.56
Cataract Surgery,Regional Medical Center,Out-of-Network,6.8,23144.17,2065.29,1800.39,2786.99,29796.84
Cataract Surgery,Sunrise Health,In-Network,97.2,12123.5,5806.46,1670.21,715.53,20315.7
Cataract Surgery,Sunrise Health,Out-of-Network,45.4,10562.16,11855.79,1131.6,1435.18,24984.73
Cataract Surgery,Green Valley Clinic,In-Network,27.7,15052.33,7802.8,1725.29,1498.12,26078.54
Cataract Surgery,Green Valley Clinic,Out-of-Network,48.9,32459.4,3887.31,1025.37,2743.96,40116.04
Cataract Surgery,Oceanview Medical,In-Network,92.5,6030.48,9180.88,4999.2,583.36,20793.92
Cataract Surgery,Oceanview Medical,Out-of-Network,15.7,8028.98,10967.85,2024.47,407.89,21429.19
Coronary Artery Bypass,City Hospital,In-Network,14.1,17452.93,1468.97,2424.12,1561.14,22907.16
Coronary Artery Bypass,City Hospital,Out-of-Network,86.0,19956.92,11113.32,4400.94,1852.04,37323.22
Coronary Artery Bypass,Regional Medical Center,In-Network,34.4,11812.21,9149.51,2446.13,796.76,24204.61
Coronary Artery Bypass,Regional Medical Center,Out-of-Network,11.3,7487.0,4018.95,3378.85,3629.08,18513.88
Coronary Artery Bypass,Sunrise Health,In-Network,19.1,6761.67,5255.81,4851.07,1140.61,18009.16
